datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,hopLimit,rxRssi,hopStart
2024-12-17 12:37:28.106306,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:38:28.568302,0x433aca0c,,,,,,,6.5,3,-5,3
2024-12-17 12:39:28.797467,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:40:28.650451,0x433aca0c,,,,,,,7.5,3,-5,3
2024-12-17 12:41:31.092581,0x433aca0c,,,,,,,6.0,3,-7,3
2024-12-17 12:41:50.568081,0x336918e8,,,,,,,5.75,5,-22,5
2024-12-17 12:42:29.047616,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:42:50.872182,0x336918e8,,,,,,,6.5,5,-23,5
2024-12-17 12:43:29.151583,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 12:43:51.048315,0x336918e8,,,,,,,6.0,5,-22,5
2024-12-17 12:44:29.406590,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 12:44:51.011150,0x336918e8,,,,,,,6.25,5,-22,5
2024-12-17 12:45:29.515634,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:45:51.207448,0x336918e8,,,,,,,6.0,5,-22,5
2024-12-17 12:46:29.896560,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 12:46:51.324259,0x336918e8,,,,,,,6.25,5,-22,5
2024-12-17 12:47:30.040643,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 12:47:51.712304,0x336918e8,,,,,,,6.25,5,-23,5
2024-12-17 12:48:30.411382,0x433aca0c,,,,,,,6.0,3,-7,3
2024-12-17 12:48:51.643092,0x336918e8,,,,,,,7.0,5,-23,5
2024-12-17 12:49:30.326514,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 12:49:51.929219,0x336918e8,,,,,,,6.5,5,-20,5
2024-12-17 12:50:30.586462,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:50:52.099044,0x336918e8,,,,,,,6.25,5,-20,5
2024-12-17 12:51:30.785486,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 12:51:52.125121,0x336918e8,,,,,,,7.0,5,-20,5
2024-12-17 12:52:30.889545,0x433aca0c,,,,,,,6.0,3,-7,3
2024-12-17 12:52:52.411201,0x336918e8,,,,,,,6.5,5,-21,5
2024-12-17 12:53:17.876053,0x433b0b38,,,5,,,5,6.5,5,-14,5
2024-12-17 12:53:30.960428,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 12:53:55.098115,0x336918e8,,,,,,,6.25,5,-21,5
2024-12-17 12:54:18.437088,0x433b0b38,,1,3,,1,3,5.75,5,-16,5
2024-12-17 12:54:31.159489,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 12:54:52.653254,0x336918e8,,,,,,,6.5,5,-20,5
2024-12-17 12:55:18.147977,0x433b0b38,,,,,,,6.25,5,-15,5
2024-12-17 12:55:31.409450,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:55:53.112340,0x336918e8,,,,,,,5.75,5,-21,5
2024-12-17 12:56:17.918041,0x433b0b38,,,,,,,6.5,5,-14,5
2024-12-17 12:56:31.589414,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 12:56:52.996117,0x336918e8,,,,,,,7.25,5,-20,5
2024-12-17 12:57:18.272887,0x433b0b38,,,,,,,6.5,5,-15,5
2024-12-17 12:57:31.685392,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 12:57:53.213031,0x336918e8,,,,,,,7.5,5,-20,5
2024-12-17 12:58:18.852006,0x433b0b38,,,,,,,6.5,5,-14,5
2024-12-17 12:58:31.877411,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 12:58:53.381206,0x336918e8,,,,,,,6.75,5,-20,5
2024-12-17 12:59:18.548902,0x433b0b38,,,1,,,1,6.25,5,-15,5
2024-12-17 12:59:32.365483,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:59:54.210405,0x336918e8,,,,,,,5.75,5,-21,5
2024-12-17 13:00:18.746802,0x433b0b38,,,,,,,6.25,5,-15,5
2024-12-17 13:00:32.431377,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 13:00:53.837183,0x336918e8,,,,,,,6.25,5,-20,5
2024-12-17 13:01:19.138092,0x433b0b38,,,,,,,7.0,5,-14,5
2024-12-17 13:01:32.690397,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 13:01:53.927346,0x336918e8,,,,,,,6.5,5,-21,5
2024-12-17 13:02:19.149924,0x433b0b38,,,,,,,6.75,5,-14,5
2024-12-17 13:02:32.591497,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 13:02:54.087359,0x336918e8,,,,,,,6.0,5,-21,5
2024-12-17 13:03:19.378043,0x433b0b38,,,,,,,6.25,5,-14,5
2024-12-17 13:03:32.776428,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 13:03:54.247264,0x336918e8,,,,,,,6.5,5,-21,5
2024-12-17 13:04:19.574914,0x433b0b38,,,,,,,6.75,5,-13,5
2024-12-17 13:04:33.045389,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 13:04:54.423283,0x336918e8,,,,,,,6.25,5,-21,5
2024-12-17 13:05:20.376219,0x433b0b38,,,,,,,6.0,5,-13,5
2024-12-17 13:05:33.160548,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 13:05:55.391386,0x336918e8,,,,,,,7.0,5,-23,5
2024-12-17 13:06:20.792001,0x433b0b38,,,1,,,1,7.25,5,-14,5
2024-12-17 13:06:33.320666,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 13:06:55.053295,0x336918e8,,,,,,,6.5,5,-20,5
2024-12-17 13:07:20.245054,0x433b0b38,,,,,,,6.75,5,-13,5
2024-12-17 13:07:33.591479,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 13:07:54.968337,0x336918e8,,,,,,,6.0,5,-21,5
2024-12-17 13:08:20.446041,0x433b0b38,,,,,,,6.5,5,-15,5
2024-12-17 13:08:33.887569,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 13:08:55.179499,0x336918e8,,,,,,,6.25,5,-21,5
2024-12-17 13:09:20.883268,0x433b0b38,,,1,,,1,6.75,5,-14,5
2024-12-17 13:09:34.053647,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 13:09:55.451556,0x336918e8,,,,,,,5.75,5,-21,5
2024-12-17 13:10:20.946092,0x433b0b38,,,,,,,7.25,5,-14,5
2024-12-17 13:10:34.056583,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 13:10:55.501319,0x336918e8,,,,,,,6.0,5,-22,5
2024-12-17 13:11:21.692266,0x433b0b38,,,,,,,6.0,5,-14,5
2024-12-17 13:11:34.318585,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 13:11:55.797446,0x336918e8,,,,,,,6.25,5,-22,5
2024-12-17 13:12:21.752405,0x433b0b38,,,,,,,6.75,5,-14,5
2024-12-17 13:12:34.638673,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 13:12:55.861515,0x336918e8,,,,,,,6.0,5,-21,5
2024-12-17 13:13:21.635314,0x433b0b38,,,,,,,7.0,5,-14,5
2024-12-17 13:13:34.758703,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 13:13:56.046487,0x336918e8,,,,,,,6.25,5,-21,5
2024-12-17 13:14:22.712345,0x433b0b38,,,,,,,6.25,5,-15,5
2024-12-17 13:14:34.818579,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 13:14:56.262411,0x336918e8,,,,,,,6.0,5,-22,5
2024-12-17 13:15:22.055329,0x433b0b38,,,,,,,7.0,5,-15,5
2024-12-17 13:15:35.379750,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 13:15:56.589471,0x336918e8,,,,,,,6.25,5,-22,5
2024-12-17 13:16:22.408296,0x433b0b38,,,,,,,6.25,5,-14,5
2024-12-17 13:16:35.328849,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 13:16:56.586527,0x336918e8,,,,,,,6.0,5,-21,5
2024-12-17 13:17:22.570277,0x433b0b38,,,,,,,6.75,5,-14,5
2024-12-17 13:17:35.521774,0x433aca0c,,,,,,,6.25,3,-6,3
