datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,hopStart,hopLimit
2024-12-17 19:31:05.395928,0x336918e8,,,,,,,6.5,-23,5,5
2024-12-17 19:31:10.103034,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 19:31:49.497409,0x433b0b38,,,,,,,7.25,-19,5,5
2024-12-17 19:32:05.655046,0x336918e8,,,,,,,6.25,-22,5,5
2024-12-17 19:32:09.957985,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 19:32:49.718455,0x433b0b38,,,,,,,8.0,-20,5,5
2024-12-17 19:33:05.653006,0x336918e8,,,,,,,6.0,-22,5,5
2024-12-17 19:33:10.054324,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 19:33:50.767512,0x433b0b38,,,,,,,7.0,-20,5,5
2024-12-17 19:34:05.875208,0x336918e8,,,,,,,6.75,-23,5,5
2024-12-17 19:34:10.261166,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 19:34:51.877785,0x433b0b38,,,,,,,6.5,-20,5,5
2024-12-17 19:35:06.047000,0x336918e8,,,,,,,6.75,-23,5,5
2024-12-17 19:35:10.418145,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 19:35:50.907587,0x433b0b38,,,,,,,6.0,-20,5,5
2024-12-17 19:36:06.239873,0x336918e8,,,,,,,6.0,-23,5,5
2024-12-17 19:36:10.762184,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 19:36:51.654547,0x433b0b38,,,,,,,7.0,-20,5,5
2024-12-17 19:37:06.571984,0x336918e8,,,,,,,6.5,-23,5,5
2024-12-17 19:37:10.784197,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 19:37:51.913596,0x433b0b38,,,,,,,6.75,-20,5,5
2024-12-17 19:38:06.687163,0x336918e8,,,,,,,6.5,-22,5,5
2024-12-17 19:38:10.950272,0x433aca0c,,,,,,,6.5,-6,3,3
2024-12-17 19:38:51.725728,0x433b0b38,,,,,,,7.0,-20,5,5
2024-12-17 19:39:06.746094,0x336918e8,,,,,,,6.25,-22,5,5
2024-12-17 19:39:11.145206,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 19:39:54.550673,0x433b0b38,,,,,,,7.25,-19,5,5
2024-12-17 19:40:06.927200,0x336918e8,,,,,,,6.5,-22,5,5
2024-12-17 19:40:11.487327,0x433aca0c,,,,,,,6.5,-7,3,3
2024-12-17 19:40:51.609590,0x433b0b38,,,,,,,6.25,-20,5,5
2024-12-17 19:41:07.135202,0x336918e8,,,,,,,6.0,-22,5,5
2024-12-17 19:41:11.670346,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 19:41:52.326883,0x433b0b38,,,,,,,7.25,-20,5,5
2024-12-17 19:42:07.471317,0x336918e8,,,,,,,6.0,-23,5,5
2024-12-17 19:42:11.957309,0x433aca0c,,,,,,,6.5,-6,3,3
2024-12-17 19:42:52.209679,0x433b0b38,,,,,,,6.25,-20,5,5
2024-12-17 19:43:07.507124,0x336918e8,,,,,,,6.0,-23,5,5
2024-12-17 19:43:11.949286,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 19:43:52.758678,0x433b0b38,,,,,,,6.75,-19,5,5
2024-12-17 19:44:07.656188,0x336918e8,,,,,,,6.25,-23,5,5
2024-12-17 19:44:12.062419,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 19:44:55.336772,0x433b0b38,,,,,,,7.0,-19,5,5
2024-12-17 19:45:07.942409,0x336918e8,,,,,,,6.75,-23,5,5
2024-12-17 19:45:12.357307,0x433aca0c,,,,,,,6.25,-7,3,3
2024-12-17 19:45:52.765673,0x433b0b38,,,,,,,7.0,-19,5,5
2024-12-17 19:46:08.047398,0x336918e8,,,,,,,7.25,-22,5,5
2024-12-17 19:46:12.404400,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 19:46:53.562969,0x433b0b38,,,,,,,6.75,-20,5,5
2024-12-17 19:47:08.229410,0x336918e8,,,,,,,6.25,-23,5,5
2024-12-17 19:47:14.542570,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 19:47:53.299806,0x433b0b38,,,,,,,6.75,-20,5,5
2024-12-17 19:48:08.595340,0x336918e8,,,,,,,6.5,-22,5,5
2024-12-17 19:48:12.898710,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 19:48:53.529820,0x433b0b38,,,,,,,7.5,-20,5,5
