datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,hopStart,hopLimit
2024-12-17 15:53:31.732898,0x43590ff4,101,4.235,6.6566668,2.1656945,,,,5
2024-12-17 15:54:00.565466,0x433b0b38,99,4.186,9.610001,2.822472,6.25,-18,5,5
2024-12-17 15:54:31.624792,0x43590ff4,101,4.216,13.089999,2.21475,,,,5
2024-12-17 15:55:31.738824,0x43590ff4,101,4.209,3.6866665,2.2026389,,,,5
2024-12-17 15:56:31.697205,0x43590ff4,101,4.214,6.6566668,2.26425,,,,5
2024-12-17 15:57:31.883981,0x43590ff4,101,4.257,6.6566668,2.2420554,,,,5
2024-12-17 15:58:31.811301,0x43590ff4,101,4.253,6.6566668,2.2564445,,,,5
2024-12-17 15:59:31.983374,0x43590ff4,100,4.196,9.475,2.2553058,,,,5
2024-12-17 16:00:00.984506,0x433b0b38,95,4.124,5.2033334,2.836611,6.0,-16,5,5
2024-12-17 16:00:31.926725,0x43590ff4,101,4.259,9.966667,2.2780833,,,,5
2024-12-17 16:01:32.039575,0x43590ff4,100,4.198,7.4100003,2.2716668,,,,5
2024-12-17 16:02:32.024694,0x43590ff4,100,4.193,6.6566668,2.283778,,,,5
2024-12-17 16:03:31.997667,0x43590ff4,101,4.218,5.9300003,2.295889,,,,5
2024-12-17 16:04:32.086774,0x43590ff4,101,4.262,11.133333,2.3529444,,,,5
2024-12-17 16:04:53.189524,0x433aca0c,81,3.997,11.133333,2.2304723,6.0,-5,3,3
2024-12-17 16:05:32.068743,0x43590ff4,101,4.206,9.355,2.4120557,,,,5
2024-12-17 16:06:02.378624,0x433b0b38,95,4.122,5.2033334,2.7984998,7.0,-16,5,5
2024-12-17 16:06:32.482150,0x43590ff4,99,4.188,7.8733335,2.3974445,,,5,5
2024-12-17 16:07:32.585566,0x43590ff4,100,4.192,3.6866665,2.3746667,,,,5
2024-12-17 16:08:32.598009,0x43590ff4,101,4.214,5.5616665,2.3867779,,,,5
2024-12-17 16:09:32.586090,0x43590ff4,99,4.188,7.626667,2.3867779,,,,5
2024-12-17 16:10:32.917269,0x43590ff4,101,4.235,5.1766667,2.3680835,,,,5
2024-12-17 16:11:32.729615,0x43590ff4,101,4.225,5.9300003,2.300139,,,,5
2024-12-17 16:12:04.138412,0x433b0b38,101,4.206,5.2033334,2.7423887,6.5,-17,5,5
2024-12-17 16:12:32.753295,0x43590ff4,101,4.227,6.356667,2.3122501,,,,5
2024-12-17 16:13:33.038577,0x43590ff4,101,4.226,8.173333,2.3067224,,,,5
2024-12-17 16:14:33.207584,0x43590ff4,101,4.256,8.843333,2.3188334,,,,5
2024-12-17 16:15:33.074867,0x43590ff4,101,4.22,5.1766667,2.3188334,,,,5
2024-12-17 16:16:33.453248,0x43590ff4,101,4.203,6.6833334,2.2638056,,,,5
2024-12-17 16:17:33.170913,0x43590ff4,100,4.194,3.6866665,2.270389,,,,5
2024-12-17 16:18:05.252148,0x433b0b38,97,4.149,5.2033334,2.7423887,6.25,-18,5,5
2024-12-17 16:18:30.575821,0x336918e8,101,4.223,6.3666663,2.11375,6.0,-22,5,5
2024-12-17 16:18:33.288737,0x43590ff4,101,4.223,9.091666,2.264861,,,,5
2024-12-17 16:19:33.265856,0x43590ff4,101,4.208,8.353333,2.2481945,,,,5
2024-12-17 16:20:33.524172,0x43590ff4,101,4.233,3.6866665,2.2173889,,,,5
2024-12-17 16:21:33.695268,0x43590ff4,101,4.253,4.8083334,2.2052777,,,,5
2024-12-17 16:22:33.681244,0x43590ff4,101,4.206,5.713333,2.2219443,,,,5
2024-12-17 16:22:53.284832,0x433aca0c,79,3.987,9.4366665,2.3301666,6.0,-6,3,3
2024-12-17 16:23:33.689486,0x43590ff4,101,4.236,4.9333334,2.25275,,,,5
2024-12-17 16:24:07.696649,0x433b0b38,99,4.185,5.9566665,2.7686667,6.25,-16,5,5
2024-12-17 16:24:33.892404,0x43590ff4,101,4.207,7.6949997,2.262361,,,,5
2024-12-17 16:25:33.986495,0x43590ff4,101,4.218,4.0550003,2.262361,,,,5
2024-12-17 16:26:33.782390,0x43590ff4,101,4.223,2.9333332,2.2436666,,,,5
2024-12-17 16:27:33.975480,0x43590ff4,101,4.237,2.9333332,2.212861,,,,5
2024-12-17 16:28:34.155697,0x43590ff4,101,4.221,7.778333,2.1653888,,,,5
2024-12-17 16:29:34.405919,0x43590ff4,101,4.205,8.353333,2.1982222,,,,5
2024-12-17 16:30:08.436880,0x433b0b38,101,4.202,6.351667,2.6939445,6.25,-18,5,5
2024-12-17 16:30:34.264838,0x43590ff4,100,4.198,7.723334,2.1982222,,,,5
2024-12-17 16:31:34.691649,0x43590ff4,100,4.197,4.8083334,2.1982222,,,,5
2024-12-17 16:32:34.373787,0x43590ff4,101,4.221,3.6866665,2.2290277,,,,5
2024-12-17 16:33:34.555232,0x43590ff4,100,4.191,3.3283334,2.2356112,,,,5
2024-12-17 16:34:34.492102,0x43590ff4,101,4.213,6.2316666,2.2719445,,,,5
2024-12-17 16:35:34.505209,0x43590ff4,101,4.217,2.2066665,2.2532501,,,,5
2024-12-17 16:36:09.418260,0x433b0b38,97,4.153,7.8316665,2.6510277,5.75,-19,5,5
2024-12-17 16:36:34.710974,0x43590ff4,101,4.22,5.875,2.2527778,,,5,5
2024-12-17 16:37:34.797340,0x43590ff4,101,4.23,2.2066665,2.2694445,,,,5
2024-12-17 16:38:34.812499,0x43590ff4,101,4.221,2.9333332,2.30025,,,,5
2024-12-17 16:39:34.908717,0x43590ff4,101,4.228,3.9033334,2.2694445,,,,5
2024-12-17 16:40:34.828522,0x43590ff4,101,4.226,10.558333,2.2815557,,,,5
2024-12-17 16:40:53.606556,0x433aca0c,79,3.985,8.683333,2.3091943,5.75,-6,3,3
2024-12-17 16:41:34.847496,0x43590ff4,101,4.208,7.9300003,2.2749722,,,,5
2024-12-17 16:42:10.757902,0x433b0b38,101,4.201,7.0516667,2.6367223,6.0,-19,5,5
2024-12-17 16:42:34.921597,0x43590ff4,101,4.211,10.693334,2.265361,,,,5
