datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,hopStart,hopLimit
2024-12-17 17:24:45.044959,0x433b0b38,99,4.183,5.2033334,2.5483332,6.25,-18,5,5
2024-12-17 17:25:37.069277,0x43590ff4,100,4.195,7.4100003,2.07375,,,,5
2024-12-17 17:26:37.049318,0x43590ff4,100,4.198,6.6566668,2.0979724,,,,5
2024-12-17 17:27:37.044910,0x43590ff4,100,4.2,5.5616665,2.0979724,,,,5
2024-12-17 17:28:37.261820,0x43590ff4,100,4.192,5.535,2.1287777,,,,5
2024-12-17 17:29:37.175789,0x43590ff4,100,4.191,9.833334,2.1287777,,,,5
2024-12-17 17:30:21.988464,0x433b0b38,97,4.159,6.351667,2.5624723,6.25,-18,5,5
2024-12-17 17:30:37.265630,0x43590ff4,101,4.204,8.653333,2.116889,,,,5
2024-12-17 17:30:38.841677,0x336918e8,101,4.238,6.778333,2.2020557,6.25,-22,5,5
2024-12-17 17:31:37.238604,0x43590ff4,101,4.241,6.6566668,2.129,,,,5
2024-12-17 17:32:37.247444,0x43590ff4,100,4.193,3.66,2.0860834,,,,5
