datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,windDirection,windSpeed,rxSnr,rxRssi,hopStart,hopLimit
2024-12-17 16:52:31.255363,0x433b0b38,27.298456,34.610565,1022.143,153.29341,55,,,6.0,-19,5,5
2024-12-17 16:52:31.358740,0x433b0b38,27.306168,34.60646,1022.1648,152.74463,55,,,7.75,-17,5,5
2024-12-17 16:52:31.472719,0x433b0b38,27.324167,34.569313,1022.18933,152.74463,56,,,7.25,-19,5,5
2024-12-17 16:52:31.585207,0x433b0b38,27.298456,34.615032,1022.1733,152.3356,59,,,5.75,-18,5,5
2024-12-17 16:52:31.700415,0x433b0b38,27.298456,34.627388,1022.17664,152.47171,58,,,5.5,-19,5,5
2024-12-17 16:52:31.841401,0x433b0b38,27.301025,34.632538,1022.2113,151.79366,61,,,5.75,-19,5,5
2024-12-17 16:52:31.984292,0x433b0b38,27.303598,34.643063,1022.18726,152.88145,55,,,6.25,-19,5,5
2024-12-17 16:52:37.831189,0x433b0b38,27.31131,34.61927,1022.19055,152.74463,53,,,6.75,-19,5,5
2024-12-17 16:53:38.525484,0x433b0b38,27.31131,34.619152,1022.17706,153.56927,53,,,6.5,-20,5,5
2024-12-17 16:54:39.393601,0x433b0b38,27.298683,34.661438,1022.18164,149.7952,69,,,6.25,-19,5,5
2024-12-17 16:55:40.377694,0x433b0b38,27.295883,34.66495,1022.21075,152.19977,60,,,6.0,-20,5,5
2024-12-17 16:56:38.386312,0x433b0b38,27.295921,34.63488,1022.20734,153.29341,55,,,6.25,-19,5,5
2024-12-17 16:57:39.537604,0x433b0b38,27.306168,34.62889,1022.2252,152.19977,56,,,5.75,-18,5,5
2024-12-17 16:58:20.037838,0x433aca0c,28.158855,32.343636,1022.7015,231.8919,77,,,6.5,-6,3,3
2024-12-17 16:58:39.479612,0x433b0b38,27.300152,34.698322,1022.2566,149.7952,69,,,5.75,-18,5,5
2024-12-17 16:59:40.345563,0x433b0b38,27.306168,34.653423,1022.2621,152.47171,58,,,6.0,-18,5,5
2024-12-17 17:00:40.231779,0x433b0b38,27.305408,34.652782,1022.2521,153.29341,53,,,6.5,-18,5,5
2024-12-17 17:01:40.783730,0x433b0b38,27.319025,34.63535,1022.2877,153.29341,54,,,7.0,-16,5,5
2024-12-17 17:02:40.390893,0x433b0b38,27.306168,34.663807,1022.3326,152.88145,53,,,6.0,-18,5,5
2024-12-17 17:03:40.357690,0x433b0b38,27.293314,34.70049,1022.3455,153.29341,52,,,6.0,-19,5,5
2024-12-17 17:04:41.350818,0x433b0b38,27.290808,34.685223,1022.39764,149.40181,60,,,5.5,-18,5,5
2024-12-17 17:05:40.567903,0x433b0b38,27.277885,34.72432,1022.4346,152.88145,54,,,5.5,-19,5,5
2024-12-17 17:06:40.762992,0x433b0b38,27.285599,34.686695,1022.49835,153.01852,55,,,6.0,-19,5,5
2024-12-17 17:07:40.031083,0x433b0b38,27.275314,34.71476,1022.52246,153.7076,52,,,6.0,-19,5,5
2024-12-17 17:08:40.151966,0x433b0b38,27.279583,34.729893,1022.53296,152.19977,55,,,6.0,-19,5,5
2024-12-17 17:09:40.156980,0x433b0b38,27.290968,34.67587,1022.5324,151.92879,56,,,5.5,-19,5,5
2024-12-17 17:10:39.664030,0x433b0b38,27.267601,34.726257,1022.5041,152.19977,56,,,6.0,-19,5,5
2024-12-17 17:11:40.700970,0x433b0b38,27.275314,34.717392,1022.46875,150.72122,62,,,5.75,-19,5,5
2024-12-17 17:12:40.735968,0x433b0b38,27.277885,34.702362,1022.4379,152.60805,58,,,5.75,-19,5,5
2024-12-17 17:13:39.758037,0x433b0b38,27.275429,34.714134,1022.40344,151.38971,59,,,5.75,-19,5,5
2024-12-17 17:14:41.280211,0x433b0b38,27.303864,34.689075,1022.42883,151.92879,60,,,6.25,-18,5,5
2024-12-17 17:15:39.799181,0x433b0b38,27.282269,34.695442,1022.4418,150.58824,65,,,6.0,-19,5,5
2024-12-17 17:16:20.615631,0x433aca0c,27.763008,33.025234,1022.99646,231.72934,86,,,6.0,-6,3,3
2024-12-17 17:16:40.359190,0x433b0b38,27.293428,34.699165,1022.4881,150.9879,63,,,6.0,-18,5,5
2024-12-17 17:17:39.856400,0x433b0b38,27.293314,34.704586,1022.4797,151.52412,62,,,5.75,-18,5,5
2024-12-17 17:18:39.887436,0x433b0b38,27.290741,34.7131,1022.46356,150.45549,67,,,6.25,-18,5,5
2024-12-17 17:19:40.028955,0x433b0b38,27.301025,34.69542,1022.4999,151.65877,60,,,7.0,-17,5,5
2024-12-17 17:20:40.152690,0x433b0b38,27.28817,34.732887,1022.4691,151.92879,59,,,7.5,-17,5,5
2024-12-17 17:21:39.956374,0x433b0b38,27.295883,34.731846,1022.4775,150.85445,69,,,7.5,-17,5,5
