Timestamp,Sender,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,hopLimit,hopStart
2024-11-09 09:00:57.549037,0x4358fbec,4,18,18,4,18,18,5.5,-24,7,7
2024-11-09 09:01:10.251658,0x4358fbec,11,33,33,11,33,33,6.0,-24,7,7
2024-11-09 09:01:23.040075,0x4358fbec,11,23,23,11,23,23,6.0,-24,7,7
2024-11-09 09:01:36.172360,0x4358fbec,5,39,41,5,39,41,7.25,-23,7,7
2024-11-09 09:01:49.631842,0x4358fbec,,32,32,,32,32,5.5,-24,7,7
2024-11-09 09:02:03.363182,0x4358fbec,14,21,21,14,21,21,6.25,-24,5,5
2024-11-09 09:02:16.322654,0x4358fbec,4,6,6,4,6,6,6.0,-24,5,5
2024-11-16 10:57:38.328791,0x336918e8,,,,,,,6.25,-22,5,5
2024-11-16 10:58:38.344536,0x336918e8,,,,,,,6.25,-21,5,5
2024-11-16 10:59:38.461938,0x336918e8,,,,,,,6.0,-18,5,5
2024-11-16 11:00:38.674750,0x336918e8,,,,,,,6.0,-21,5,5
2024-11-16 11:01:38.992990,0x336918e8,,,,,,,6.75,-20,5,5
2024-11-16 11:02:38.991697,0x336918e8,,,,,,,7.5,-20,5,5
2024-11-16 11:03:39.227803,0x336918e8,,,,,,,6.5,-19,5,5
2024-11-16 11:04:39.392038,0x336918e8,,,,,,,6.25,-20,5,5
2024-11-16 11:05:39.473300,0x336918e8,,,,,,,6.0,-18,5,5
2024-11-23 09:54:59.918454,0x336918e8,,,,,,,6.5,-32,5,5
2024-11-23 10:03:10.520329,0x336918e8,,,,,,,5.75,-40,5,5
2024-11-23 10:04:10.784433,0x336918e8,,,,,,,6.0,-33,5,5
2024-11-23 10:05:11.041589,0x336918e8,,,,,,,6.75,-34,5,5
2024-11-23 10:06:11.325593,0x336918e8,,,,,,,6.0,-37,5,5
2024-11-23 10:07:11.278815,0x336918e8,,,,,,,6.25,-33,5,5
2024-11-23 10:08:11.362610,0x336918e8,,,,,,,6.5,-37,5,5
2024-11-23 10:09:11.600236,0x336918e8,,,,,,,6.25,-33,5,5
2024-11-23 10:10:11.633849,0x336918e8,,,,,,,7.0,-38,5,5
2024-11-23 10:11:11.922502,0x336918e8,,,,,,,6.25,-36,5,5
2024-11-23 10:12:12.002388,0x336918e8,,,,,,,6.0,-31,5,5
2024-11-23 10:13:22.246339,0x336918e8,,,,,,,6.0,-39,5,5
2024-11-23 10:14:22.217280,0x336918e8,,,,,,,6.25,-34,5,5
2024-11-23 10:15:22.378081,0x336918e8,,,,,,,6.25,-32,5,5
2024-11-23 10:16:22.546971,0x336918e8,,,,,,,6.75,-35,5,5
2024-11-23 10:17:23.087762,0x336918e8,,,,,,,6.0,-30,5,5
2024-11-23 10:18:22.857589,0x336918e8,,,,,,,7.0,-32,5,5
2024-11-23 10:19:23.067467,0x336918e8,,,,,,,6.25,-28,5,5
2024-11-23 10:20:23.304452,0x336918e8,,,,,,,5.75,-34,5,5
2024-11-23 10:21:23.348240,0x336918e8,,,,,,,6.0,-32,5,5
2024-11-23 10:22:23.712279,0x336918e8,,,,,,,6.75,-35,5,5
2024-11-23 10:23:23.794192,0x336918e8,,,,,,,6.0,-28,5,5
2024-11-23 10:24:24.031155,0x336918e8,,,,,,,7.0,-33,5,5
2024-11-23 10:25:24.183951,0x336918e8,,,,,,,6.0,-30,5,5
2024-11-23 10:26:24.152047,0x336918e8,,,,,,,7.0,-42,5,5
2024-11-23 10:27:24.354037,0x336918e8,,,,,,,6.75,-31,5,5
2024-11-23 10:28:24.512037,0x336918e8,,,,,,,7.0,-42,5,5
