datetime,fromNode,ch3Voltage,ch3Current,rxSnr,rxRssi,hopStart,hopLimit
2024-12-17 15:53:59.709705,0x433b0b38,4.69125,-5.0,6.25,-18,5,5
2024-12-17 15:59:00.096137,0x433b0b38,4.69,-3.75,6.25,-18,5,5
2024-12-17 16:04:01.235587,0x433b0b38,4.725,-3.75,5.75,-19,5,5
2024-12-17 16:09:03.051981,0x433b0b38,4.725,-3.75,7.0,-19,5,5
2024-12-17 16:14:04.144497,0x433b0b38,4.72375,-5.0,7.25,-17,5,5
2024-12-17 16:19:04.734091,0x433b0b38,4.72125,-3.75,6.25,-17,5,5
2024-12-17 16:24:06.123324,0x433b0b38,4.69,-3.75,7.0,-16,5,5
2024-12-17 16:29:07.048743,0x433b0b38,4.6875,-2.5,6.5,-17,5,5
2024-12-17 16:34:09.339117,0x433b0b38,4.7275,-3.75,6.25,-17,5,5
2024-12-17 16:39:09.394609,0x433b0b38,4.7275,-2.5,6.25,-18,5,5
