datetime,fromNode,ch3Voltage,ch3Current,rxSnr,rxRssi,hopStart,hopLimit
2024-12-17 18:31:06.068655,0x433b0b38,4.69875,-2.5,6.25,-18,5,5
2024-12-17 18:34:37.349861,0x433b0b38,4.72875,-3.75,6.5,-18,5,5
2024-12-17 18:39:38.267443,0x433b0b38,4.73375,-3.75,6.5,-17,5,5
2024-12-17 18:44:39.212649,0x433b0b38,4.73125,-3.75,6.0,-19,5,5
2024-12-17 18:49:40.418860,0x433b0b38,4.70125,-3.75,7.75,-20,5,5
2024-12-17 18:54:40.932042,0x433b0b38,4.6975,-3.75,6.5,-20,5,5
2024-12-17 18:59:42.367385,0x433b0b38,4.7,-3.75,6.25,-19,5,5
2024-12-17 19:04:45.146721,0x433b0b38,4.7325,-2.5,7.25,-20,5,5
2024-12-17 19:09:44.959336,0x433b0b38,4.73,-2.5,6.75,-20,5,5
2024-12-17 19:14:46.387654,0x433b0b38,4.665,-2.5,6.5,-19,5,5
2024-12-17 19:19:50.122952,0x433b0b38,4.6975,-2.5,7.25,-20,5,5
2024-12-17 19:24:49.707038,0x433b0b38,4.73,-5.0,6.5,-20,5,5
2024-12-17 19:29:49.907236,0x433b0b38,4.64625,-3.75,6.75,-19,5,5
