datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,hopLimit,rxRssi,hopStart
2024-12-17 14:37:41.041774,0x433b0b38,,,,,,,6.5,5,-14,5
2024-12-17 14:37:49.987823,0x433aca0c,,,,,,,5.75,3,-6,3
2024-12-17 14:38:11.669770,0x336918e8,,,,,,,5.75,5,-19,5
2024-12-17 14:38:42.118800,0x433b0b38,,,,,,,6.5,5,-14,5
2024-12-17 14:38:50.158949,0x433aca0c,,,,,,,6.0,3,-7,3
2024-12-17 14:39:11.677702,0x336918e8,,,,,,,6.25,5,-19,5
2024-12-17 14:39:42.293898,0x433b0b38,,,,,,,7.5,5,-13,5
2024-12-17 14:39:50.379077,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 14:40:11.849759,0x336918e8,,,,,,,6.25,5,-19,5
2024-12-17 14:40:42.234840,0x433b0b38,,,,,,,6.75,5,-14,5
2024-12-17 14:40:50.434192,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 14:41:11.959829,0x336918e8,,,,,,,6.0,5,-19,5
2024-12-17 14:41:42.111922,0x433b0b38,,,,,,,7.75,5,-14,5
2024-12-17 14:41:50.781336,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 14:42:12.135964,0x336918e8,,,,,,,6.75,5,-19,5
2024-12-17 14:42:42.830024,0x433b0b38,,,,,,,7.0,5,-14,5
2024-12-17 14:42:50.811532,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 14:43:12.240044,0x336918e8,,,,,,,6.25,5,-19,5
2024-12-17 14:43:43.042060,0x433b0b38,,,,,,,6.5,5,-14,5
2024-12-17 14:43:50.982420,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 14:44:12.764167,0x336918e8,,,,,,,6.5,5,-19,5
2024-12-17 14:44:43.164189,0x433b0b38,,,,,,,7.25,5,-15,5
2024-12-17 14:44:51.175512,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 14:45:12.753281,0x336918e8,,,,,,,6.0,5,-19,5
2024-12-17 14:45:42.903260,0x433b0b38,,,,,,,7.25,5,-14,5
2024-12-17 14:45:51.365639,0x433aca0c,,,,,,,5.75,3,-6,3
2024-12-17 14:46:12.779477,0x336918e8,,,,,,,5.75,5,-18,5
2024-12-17 14:46:43.692412,0x433b0b38,,,,,,,7.25,5,-14,5
2024-12-17 14:46:51.536606,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 14:47:12.960688,0x336918e8,,,,,,,7.0,5,-20,5
2024-12-17 14:47:43.398493,0x433b0b38,,,1,,,1,5.75,5,-14,5
2024-12-17 14:47:51.872684,0x433aca0c,,,,,,,6.0,3,-7,3
2024-12-17 14:48:13.218553,0x336918e8,,,,,,,6.0,5,-19,5
2024-12-17 14:48:45.028616,0x433b0b38,,,,,,,6.75,5,-14,5
2024-12-17 14:48:52.053943,0x433aca0c,,,,,,,6.0,3,-7,3
2024-12-17 14:49:13.319787,0x336918e8,,,,,,,6.0,5,-19,5
2024-12-17 14:49:44.300611,0x433b0b38,,,,,,,6.25,5,-14,5
2024-12-17 14:49:52.277830,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 14:50:13.503589,0x336918e8,,,,,,,6.25,5,-19,5
2024-12-17 14:50:44.186809,0x433b0b38,,,,,,,6.5,5,-24,5
2024-12-17 14:50:52.275045,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 14:51:13.696649,0x336918e8,,,,,,,6.25,5,-26,5
2024-12-17 14:51:44.304723,0x433b0b38,,,,,,,8.0,5,-22,5
2024-12-17 14:51:52.451187,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 14:52:13.876804,0x336918e8,,,,,,,6.25,5,-25,5
2024-12-17 14:52:44.502866,0x433b0b38,,,,,,,6.5,5,-24,5
2024-12-17 14:52:52.627129,0x433aca0c,,,,,,,7.0,3,-8,3
2024-12-17 14:53:14.211096,0x336918e8,,,,,,,6.25,5,-24,5
2024-12-17 14:53:46.089057,0x433b0b38,,,,,,,6.5,5,-15,5
2024-12-17 14:53:52.901132,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 14:54:14.307968,0x336918e8,,,,,,,6.75,5,-24,5
2024-12-17 14:54:45.035055,0x433b0b38,,,,,,,6.25,5,-19,5
2024-12-17 14:54:52.985296,0x433aca0c,,,,,,,6.5,3,-7,3
2024-12-17 14:55:14.564066,0x336918e8,,,,,,,6.0,5,-20,5
2024-12-17 14:55:45.199271,0x433b0b38,,,,,,,7.0,5,-20,5
2024-12-17 14:55:53.167469,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 14:56:14.603159,0x336918e8,,,,,,,6.75,5,-21,5
2024-12-17 14:56:45.909386,0x433b0b38,,,,,,,6.25,5,-19,5
2024-12-17 14:56:53.347521,0x433aca0c,,,,,,,6.0,3,-7,3
2024-12-17 14:57:14.776135,0x336918e8,,,,,,,6.25,5,-21,5
2024-12-17 14:57:45.663399,0x433b0b38,,,,,,,6.0,5,-22,5
2024-12-17 14:57:53.528638,0x433aca0c,,,,,,,6.0,3,-7,3
2024-12-17 14:58:15.118250,0x336918e8,,,,,,,6.5,5,-20,5
2024-12-17 14:58:46.097427,0x433b0b38,,,,,,,6.25,5,-19,5
2024-12-17 14:58:53.801647,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 14:59:15.152381,0x336918e8,,,,,,,6.0,5,-19,5
2024-12-17 14:59:46.108317,0x433b0b38,,,,,,,6.0,5,-19,5
2024-12-17 14:59:53.911748,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 15:00:15.327618,0x336918e8,,,,,,,5.75,5,-23,5
